Name Mac Column Row
10.132.0.80 90:1B:0E:C3:7B:B2 1 1
10.132.0.103 90:1B:0E:C3:7C:8A 2 1
10.132.0.81 90:1B:0E:C3:7C:00 3 1
10.132.0.85 90:1B:0E:C3:7B:AD 1 2
10.132.0.90 90:1B:0E:C3:7C:A3 2 2
10.132.0.89 90:1B:0E:C3:7B:D4 3 2
10.132.0.99 90:1B:0E:C3:7B:A8 1 3
10.132.0.98 90:1B:0E:C2:F5:3A 2 3
10.132.0.93 90:1B:0E:C3:7C:2B 3 3
10.132.0.108 90:1B:0E:C3:7C:B6 1 4
10.132.0.104 90:1B:0E:C3:7B:AE 2 4
10.132.0.107 90:1B:0E:C3:7B:B8 3 4
10.132.0.91 90:1B:0E:C3:7B:B6 1 5
10.132.0.95 90:1B:0E:C3:7B:A6 2 5
10.132.0.112 90:1B:0E:C3:7B:FD 3 5
